row_id,run_id,test_instance_id,test_instance_mod,warehouse_id,random_seed,method,initialization,timeforsubproblem,partition,lsnsiteration,objective,solve_time,cumul_time
249,249,45,45,5,66414,Randomized,(cold start),,1,0,0,0,0
249,249,45,45,5,66414,Randomized,(cold start),,1,1,9,35.25399995,35.25399995
249,249,45,45,5,66414,Randomized,(cold start),,1,2,19,10.68500018,45.93900013
249,249,45,45,5,66414,Randomized,(cold start),,1,3,34,10.73200011,56.67100024
249,249,45,45,5,66414,Randomized,(cold start),,1,4,49,6.835999966,63.50700021
249,249,45,45,5,66414,Randomized,(cold start),,1,5,55,7.03399992,70.54100013
249,249,45,45,5,66414,Randomized,(cold start),,1,6,62,7.070999861,77.61199999
249,249,45,45,5,66414,Randomized,(cold start),,1,7,64,9.513999939,87.12599993
249,249,45,45,5,66414,Randomized,(cold start),,1,8,66,9.743999958,96.86999989
249,249,45,45,5,66414,Randomized,(cold start),,1,9,66,8.67599988,105.5459998
249,249,45,45,5,66414,Randomized,(cold start),,1,10,66,10.421,115.9669998
249,249,45,45,5,66414,Randomized,(cold start),,1,11,74,8.688000202,124.655
249,249,45,45,5,66414,Randomized,(cold start),,1,12,78,8.950000048,133.605
249,249,45,45,5,66414,Randomized,(cold start),,1,13,84,9.509000063,143.1140001
249,249,45,45,5,66414,Randomized,(cold start),,1,14,91,7.582999945,150.697
249,249,45,45,5,66414,Randomized,(cold start),,1,15,94,6.32799983,157.0249999
249,249,45,45,5,66414,Randomized,(cold start),,1,16,100,6.35800004,163.3829999
249,249,45,45,5,66414,Randomized,(cold start),,1,17,101,6.766000032,170.1489999
249,249,45,45,5,66414,Randomized,(cold start),,1,18,107,5.72300005,175.872
249,249,45,45,5,66414,Randomized,(cold start),,1,19,108,6.542999983,182.415
249,249,45,45,5,66414,Randomized,(cold start),,1,20,108,7.036999941,189.4519999
249,249,45,45,5,66414,Randomized,(cold start),,1,21,108,6.360000134,195.812
249,249,45,45,5,66414,Randomized,(cold start),,1,22,111,6.746999979,202.559
249,249,45,45,5,66414,Randomized,(cold start),,1,23,111,7.290999889,209.8499999
249,249,45,45,5,66414,Randomized,(cold start),,1,24,111,10.1650002,220.0150001
249,249,45,45,5,66414,Randomized,(cold start),,1,25,127,9.092000008,229.1070001
249,249,45,45,5,66414,Randomized,(cold start),,1,26,130,10.09699988,239.204
249,249,45,45,5,66414,Randomized,(cold start),,1,27,133,9.387000084,248.5910001
249,249,45,45,5,66414,Randomized,(cold start),,1,28,133,8.674999952,257.266
249,249,45,45,5,66414,Randomized,(cold start),,1,29,133,9.773999929,267.04
249,249,45,45,5,66414,Randomized,(cold start),,1,30,134,9.828000069,276.868
249,249,45,45,5,66414,Randomized,(cold start),,1,31,134,9.028000116,285.8960001
249,249,45,45,5,66414,Randomized,(cold start),,1,32,135,9.582000017,295.4780002
249,249,45,45,5,66414,Randomized,(cold start),,1,33,136,11.64699984,307.125
249,249,45,45,5,66414,Randomized,(cold start),,1,34,136,9.164999962,316.29
249,249,45,45,5,66414,Randomized,(cold start),,1,35,140,10.75700021,327.0470002
249,249,45,45,5,66414,Randomized,(cold start),,1,36,140,8.95600009,336.0030003
249,249,45,45,5,66414,Randomized,(cold start),,1,37,140,8.813999891,344.8170002
249,249,45,45,5,66414,Randomized,(cold start),,1,38,142,8.589999914,353.4070001
249,249,45,45,5,66414,Randomized,(cold start),,1,39,143,10.75500011,364.1620002
249,249,45,45,5,66414,Randomized,(cold start),,1,40,146,9.503999949,373.6660001
249,249,45,45,5,66414,Randomized,(cold start),,1,41,146,11.01099992,384.677
249,249,45,45,5,66414,Randomized,(cold start),,1,42,146,10.41100001,395.0880001
249,249,45,45,5,66414,Randomized,(cold start),,1,43,146,8.497000217,403.5850003
249,249,45,45,5,66414,Randomized,(cold start),,1,44,150,9.375,412.9600003
249,249,45,45,5,66414,Randomized,(cold start),,1,45,150,10.25200009,423.2120004
249,249,45,45,5,66414,Randomized,(cold start),,1,46,150,9.360000134,432.5720005
249,249,45,45,5,66414,Randomized,(cold start),,1,47,154,10.61100006,443.1830006
249,249,45,45,5,66414,Randomized,(cold start),,1,48,154,9.589999914,452.7730005
249,249,45,45,5,66414,Randomized,(cold start),,1,49,154,10.22899985,463.0020003
249,249,45,45,5,66414,Randomized,(cold start),,1,50,154,9.372999907,472.3750002
249,249,45,45,5,66414,Randomized,(cold start),,1,51,154,9.372999907,499
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,0,0,0,0
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,1,36,38.91000009,38.91000009
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,2,69,26.29699993,65.20700002
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,3,100,21.023,86.23000002
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,4,130,21.12700009,107.3570001
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,5,159,21.68599987,129.043
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,6,187,21.40199995,150.4449999
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,7,210,21.70000005,172.145
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,8,247,24.40199995,196.5469999
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,9,269,21.72599983,218.2729998
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,10,285,21.75199986,240.0249996
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,11,285,19.7420001,259.7669997
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,12,295,17.82400012,277.5909998
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,13,296,12.25300002,289.8439999
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,14,296,11.26900005,301.1129999
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,15,296,10.22799993,311.3409998
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,16,296,10.85899997,322.1999998
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,17,297,9.899999857,332.0999997
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,18,297,16.04200006,348.1419997
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,19,300,17.96500015,366.1069999
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,20,303,10.45500016,376.562
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,21,303,9.785000086,386.3470001
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,22,303,14.05500007,400.4020002
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,23,303,9.457999945,409.8600001
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,24,305,11.9000001,421.7600002
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,25,305,12.01100016,433.7710004
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,26,305,13.85699987,447.6280003
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,27,305,12.1789999,459.8070002
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,28,305,10.58500004,470.3920002
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,29,305,10.66400003,481.0560002
849,849,45,45,5,66414,Learn-then-optimize,(cold start),,1,30,306,9.980000019,491.0360003
849,849,45,45,5,66414,Learn-then-optimize,(cold start),0,1,31,306,9.980000019,491.0360003
849,849,45,45,5,66414,Learn-then-optimize,(cold start),0,1,32,306,9.980000019,491.0360003
849,849,45,45,5,66414,Learn-then-optimize,(cold start),0,1,33,306,9.980000019,491.0360003
849,849,45,45,5,66414,Learn-then-optimize,(cold start),0,1,34,306,9.980000019,491.0360003
849,849,45,45,5,66414,Learn-then-optimize,(cold start),0,1,35,306,9.980000019,491.0360003
849,849,45,45,5,66414,Learn-then-optimize,(cold start),0,1,36,306,9.980000019,491.0360003
849,849,45,45,5,66414,Learn-then-optimize,(cold start),0,1,37,306,9.980000019,491.0360003
849,849,45,45,5,66414,Learn-then-optimize,(cold start),0,1,38,306,9.980000019,491.0360003
849,849,45,45,5,66414,Learn-then-optimize,(cold start),0,1,39,306,9.980000019,491.0360003
849,849,45,45,5,66414,Learn-then-optimize,(cold start),0,1,40,306,9.980000019,491.0360003
849,849,45,45,5,66414,Learn-then-optimize,(cold start),0,1,41,306,9.980000019,491.0360003
849,849,45,45,5,66414,Learn-then-optimize,(cold start),0,1,42,306,9.980000019,491.0360003
849,849,45,45,5,66414,Learn-then-optimize,(cold start),0,1,43,306,9.980000019,491.0360003
849,849,45,45,5,66414,Learn-then-optimize,(cold start),0,1,44,306,9.980000019,491.0360003
849,849,45,45,5,66414,Learn-then-optimize,(cold start),0,1,45,306,9.980000019,491.0360003
849,849,45,45,5,66414,Learn-then-optimize,(cold start),0,1,46,306,9.980000019,491.0360003
849,849,45,45,5,66414,Learn-then-optimize,(cold start),0,1,47,306,9.980000019,491.0360003
849,849,45,45,5,66414,Learn-then-optimize,(cold start),0,1,48,306,9.980000019,491.0360003
849,849,45,45,5,66414,Learn-then-optimize,(cold start),0,1,49,306,9.980000019,491.0360003
849,849,45,45,5,66414,Learn-then-optimize,(cold start),0,1,50,306,9.980000019,491.0360003
849,849,45,45,5,66414,Learn-then-optimize,(cold start),0,1,51,306,9.980000019,499
247,247,45,45,5,66414,Domain-based,(cold start),,1,0,0,0,0
247,247,45,45,5,66414,Domain-based,(cold start),,1,1,20,37.148,37.148
247,247,45,45,5,66414,Domain-based,(cold start),,1,2,41,8.442000151,45.59000015
247,247,45,45,5,66414,Domain-based,(cold start),,1,3,54,9.029000044,54.6190002
247,247,45,45,5,66414,Domain-based,(cold start),,1,4,68,8.467999935,63.08700013
247,247,45,45,5,66414,Domain-based,(cold start),,1,5,79,7.387000084,70.47400022
247,247,45,45,5,66414,Domain-based,(cold start),,1,6,84,8.635999918,79.11000013
247,247,45,45,5,66414,Domain-based,(cold start),,1,7,88,8.600999832,87.71099997
247,247,45,45,5,66414,Domain-based,(cold start),,1,8,97,9.115999937,96.8269999
247,247,45,45,5,66414,Domain-based,(cold start),,1,9,104,7.896000147,104.723
247,247,45,45,5,66414,Domain-based,(cold start),,1,10,113,9.419000149,114.1420002
247,247,45,45,5,66414,Domain-based,(cold start),,1,11,119,7.467000008,121.6090002
247,247,45,45,5,66414,Domain-based,(cold start),,1,12,124,8.282000065,129.8910003
247,247,45,45,5,66414,Domain-based,(cold start),,1,13,131,8.730999947,138.6220002
247,247,45,45,5,66414,Domain-based,(cold start),,1,14,135,9.029000044,147.6510003
247,247,45,45,5,66414,Domain-based,(cold start),,1,15,151,8.023999929,155.6750002
247,247,45,45,5,66414,Domain-based,(cold start),,1,16,157,8.700999975,164.3760002
247,247,45,45,5,66414,Domain-based,(cold start),,1,17,159,8.546999931,172.9230001
247,247,45,45,5,66414,Domain-based,(cold start),,1,18,171,8.039000034,180.9620001
247,247,45,45,5,66414,Domain-based,(cold start),,1,19,174,8.496000051,189.4580002
247,247,45,45,5,66414,Domain-based,(cold start),,1,20,174,9.087000132,198.5450003
247,247,45,45,5,66414,Domain-based,(cold start),,1,21,177,8.728000164,207.2730005
247,247,45,45,5,66414,Domain-based,(cold start),,1,22,180,9.061999798,216.3350003
247,247,45,45,5,66414,Domain-based,(cold start),,1,23,182,7.269999981,223.6050003
