row_id,run_id,test_instance_id,warehouse_id,random_seed,method,partition,lsnsiterations,objective,solve_time,solvetime_init,solvetime_spselection,solvetime_spopt,time_utilization,throughput_utilization,bestthroughput_utilization,total_orders_worked,total_orders_completed,congestion_utilization,max_congestion,pods_used,unique_pods_used,items_picked_per_pod,pod_distance_travelled,order_open_time_per_item,orders_size_1,orders_size_2,orders_size_3,orders_size_4,orders_size_5,orders_size_6,orders_size_7,orders_size_8,orders_size_9,orders_size_10,orders_size_large
940,940,41,26,92704,LTO,1,init,0,0.0056841373443603516,0.0056841373443603516,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0
940,940,41,26,92704,LTO,1,1,47,110.91273212432861,0,31.96575689315796,5.139993190765381,0.19086021505376344,0.2611111111111111,0.1638888888888889,47,47,0.19064966605950212,4.1000000000000005,24,18,2.611111111111111,1300.0,1.0,47,0,0,0,0,0,0,0,0,0,0
940,940,41,26,92704,LTO,1,2,93,80.55129885673523,0,28.2028648853302,0.3156590461730957,0.3790322580645161,0.5166666666666667,0.325,83,83,0.3509411050394658,4.333333333333333,48,39,2.3846153846153846,2432.0,1.064516129032258,73,10,0,0,0,0,0,0,0,0,0
940,940,41,26,92704,LTO,1,3,138,89.72842001914978,0,25.606335163116455,5.07923698425293,0.5698924731182796,0.7666666666666667,0.48333333333333334,113,113,0.5010625379477839,5.0,74,60,2.3,3648.0,1.0942028985507246,92,18,2,1,0,0,0,0,0,0,0
940,940,41,26,92704,LTO,1,4,173,83.90750002861023,0,25.9238600730896,0.2261829376220703,0.7311827956989247,0.9611111111111111,0.6138888888888889,130,130,0.599149969641773,5.0,99,76,2.276315789473684,4972.0,1.0982658959537572,98,24,5,3,0,0,0,0,0,0,0
940,940,41,26,92704,LTO,1,5,186,82.8982720375061,0,25.32560706138611,0.1552751064300537,0.8010752688172043,1.0333333333333334,0.6694444444444444,137,137,0.6954614450516091,5.0,112,84,2.2142857142857144,5592.0,1.1989247311827957,100,28,6,3,0,0,0,0,0,0,0
940,940,41,26,92704,LTO,1,6,186,81.53268599510193,0,21.882563829421997,0.1567058563232422,0.8010752688172043,1.0333333333333334,0.6694444444444444,137,137,0.6954614450516091,5.0,112,84,2.2142857142857144,5592.0,1.1989247311827957,100,28,6,3,0,0,0,0,0,0,0
940,940,41,26,92704,LTO,1,7,186,82.71831703186035,0,22.077697038650513,0.24880194664001465,0.8010752688172043,1.0333333333333334,0.6694444444444444,137,137,0.6954614450516091,5.0,112,84,2.2142857142857144,5592.0,1.1989247311827957,100,28,6,3,0,0,0,0,0,0,0
940,940,41,26,92704,LTO,1,8,186,80.79030990600586,0,21.13598608970642,0.23778820037841797,0.8010752688172043,1.0333333333333334,0.6694444444444444,137,137,0.6954614450516091,5.0,112,84,2.2142857142857144,5592.0,1.1989247311827957,100,28,6,3,0,0,0,0,0,0,0
940,940,41,26,92704,LTO,1,9,187,83.86715602874756,0,22.437695026397705,0.3125767707824707,0.8118279569892473,1.038888888888889,0.6777777777777778,138,138,0.7108227079538557,4.933333333333333,115,84,2.2261904761904763,5716.0,1.1978609625668448,101,28,6,3,0,0,0,0,0,0,0
