row_id,run_id,test_instance_id,test_instance_mod,warehouse_id,random_seed,method,initialization,timeforsubproblem,partition,lsnsiteration,objective,solve_time,cumul_time,solvetime_init,solvetime_spselection,solvetime_spopt,time_utilization,throughput_utilization,bestthroughput_utilization,total_orders_worked,total_orders_completed,congestion_utilization,max_congestion,pods_used,unique_pods_used,items_picked_per_pod,pod_distance_travelled,order_open_time_per_item,orders_size_1,orders_size_2,orders_size_3,orders_size_4,orders_size_5,orders_size_6,orders_size_7,orders_size_8,orders_size_9,orders_size_10,orders_size_large
255,255,26,6,3,7933,Learn-then-optimize,(warm start),10,1,0,138,52.49990892,52.49990892,52.49990892,0,0,0.661290323,0.766666667,0.533333333,74,74,0.920765027,4,108,107,1.277777778,4600,10.39130435,66,0,0,0,2,2,1,0,1,0,2
255,255,26,6,3,7933,Learn-then-optimize,(warm start),10,1,1,142,30.30543613,82.80534506,0,17.08352089,0.132184029,0.682795699,0.788888889,0.541666667,72,72,0.988160291,4,112,107,1.267857143,4804,7.598591549,60,2,2,0,2,2,1,0,1,0,2
255,255,26,6,3,7933,Learn-then-optimize,(warm start),10,1,2,152,13.08309293,95.88843799,0,11.83031297,0.085111141,0.728494624,0.844444444,0.575,75,75,1.08852459,4,119,110,1.277310924,5084,6.092105263,57,7,3,0,2,2,1,0,1,0,2
255,255,26,6,3,7933,Learn-then-optimize,(warm start),10,1,3,152,12.54575682,108.4341948,0,11.18333507,0.004873037,0.728494624,0.844444444,0.575,75,75,1.08852459,4,119,110,1.277310924,5084,6.092105263,57,7,3,0,2,2,1,0,1,0,2
255,255,26,6,3,7933,Learn-then-optimize,(warm start),10,1,4,163,12.57707095,121.0112658,0,11.11455297,0.201225996,0.758064516,0.905555556,0.608333333,78,78,1.076684882,4,119,109,1.369747899,5100,5.570552147,55,11,3,0,3,2,1,0,1,0,2
255,255,26,6,3,7933,Learn-then-optimize,(warm start),10,1,5,171,17.4346931,138.4459589,0,11.15620995,5.001363039,0.793010753,0.95,0.636111111,82,82,1.100364299,4,124,114,1.379032258,5316,5.409356725,55,14,4,1,2,2,1,0,1,0,2
255,255,26,6,3,7933,Learn-then-optimize,(warm start),10,1,6,171,12.62941885,151.0753777,0,11.43175983,0.061154127,0.793010753,0.95,0.636111111,82,82,1.100364299,4,124,114,1.379032258,5316,5.409356725,55,14,4,1,2,2,1,0,1,0,2
255,255,26,6,3,7933,Learn-then-optimize,(warm start),10,1,7,177,13.3039031,164.3792808,0,11.146348,0.893581867,0.803763441,0.983333333,0.652777778,84,84,1.10582878,4.166666667,122,110,1.450819672,5292,4.711864407,55,14,6,1,2,2,1,0,1,0,2
255,255,26,6,3,7933,Learn-then-optimize,(warm start),10,1,8,185,17.64743495,182.0267158,0,11.39822102,5.107825994,0.817204301,1.027777778,0.677777778,87,87,1.013843352,4,119,107,1.554621849,5028,4.654054054,55,16,6,2,2,2,1,0,1,0,2
255,255,26,6,3,7933,Learn-then-optimize,(warm start),10,1,9,185,17.43955088,199.4662666,0,11.20890093,5.035210133,0.817204301,1.027777778,0.677777778,87,87,1.013843352,4,119,107,1.554621849,5028,4.654054054,55,16,6,2,2,2,1,0,1,0,2
255,255,26,6,3,7933,Learn-then-optimize,(warm start),10,1,10,185,17.416394,216.8826606,0,11.22738886,5.033957958,0.817204301,1.027777778,0.677777778,87,87,1.013843352,4,119,107,1.554621849,5028,4.654054054,55,16,6,2,2,2,1,0,1,0,2
255,255,26,6,3,7933,Learn-then-optimize,(warm start),10,1,11,185,13.36526084,230.2479215,0,11.27951097,0.004358053,0.817204301,1.027777778,0.677777778,87,87,1.013843352,4,119,107,1.554621849,5028,4.654054054,55,16,6,2,2,2,1,0,1,0,2
255,255,26,6,3,7933,Learn-then-optimize,(warm start),10,1,12,185,12.970824,243.2187455,0,11.34534597,0.497667074,0.817204301,1.027777778,0.677777778,87,87,1.013843352,4,119,107,1.554621849,5028,4.654054054,55,16,6,2,2,2,1,0,1,0,2
255,255,26,6,3,7933,Learn-then-optimize,(warm start),10,1,13,185,12.61577702,255.8345225,0,11.25338912,0.079164982,0.817204301,1.027777778,0.677777778,87,87,1.013843352,4,119,107,1.554621849,5028,4.654054054,55,16,6,2,2,2,1,0,1,0,2
255,255,26,6,3,7933,Learn-then-optimize,(warm start),10,1,14,185,12.64190578,268.4764283,0,11.24584699,0.063942909,0.817204301,1.027777778,0.677777778,87,87,1.013843352,4,119,107,1.554621849,5028,4.654054054,55,16,6,2,2,2,1,0,1,0,2
255,255,26,6,3,7933,Learn-then-optimize,(warm start),10,1,15,185,12.367939,280.8443673,0,11.17249584,0.004395008,0.817204301,1.027777778,0.677777778,87,87,1.013843352,4,119,107,1.554621849,5028,4.654054054,55,16,6,2,2,2,1,0,1,0,2
