row_id,run_id,test_instance_id,warehouse_id,random_seed,method,partition,lsnsiterations,objective,solve_time,solvetime_init,solvetime_spselection,solvetime_spopt,time_utilization,throughput_utilization,bestthroughput_utilization,total_orders_worked,total_orders_completed,congestion_utilization,max_congestion,pods_used,unique_pods_used,items_picked_per_pod,pod_distance_travelled,order_open_time_per_item,orders_size_1,orders_size_2,orders_size_3,orders_size_4,orders_size_5,orders_size_6,orders_size_7,orders_size_8,orders_size_9,orders_size_10,orders_size_large
939,939,41,26,92704,LTO,1,init,0,0.005550861358642578,0.005550861358642578,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0
939,939,41,26,92704,LTO,1,1,40,123.06453490257263,0,45.38064193725586,10.076308965682983,0.15591397849462366,0.2222222222222222,0.1388888888888889,40,40,0.13934426229508196,4.3,18,16,2.5,980.0,1.0,40,0,0,0,0,0,0,0,0,0,0
939,939,41,26,92704,LTO,1,2,80,96.09399008750916,0,34.590511083602905,10.069550037384033,0.31451612903225806,0.4444444444444444,0.2777777777777778,71,71,0.2717061323618701,4.3,37,33,2.4242424242424243,1916.0,1.05,62,9,0,0,0,0,0,0,0,0,0
939,939,41,26,92704,LTO,1,3,120,101.34620785713196,0,43.49532985687256,5.176551103591919,0.47580645161290325,0.6666666666666666,0.4166666666666667,99,99,0.4001214329083182,5.0,57,51,2.3529411764705883,2832.0,1.075,80,18,0,1,0,0,0,0,0,0,0
939,939,41,26,92704,LTO,1,4,157,97.09307098388672,0,34.97264099121094,10.881997108459473,0.6370967741935484,0.8722222222222222,0.5472222222222223,117,117,0.5131299332119005,5.0,80,67,2.343283582089552,3704.0,1.0382165605095541,86,25,3,3,0,0,0,0,0,0,0
939,939,41,26,92704,LTO,1,5,184,98.74774599075317,0,30.672160863876343,10.069070100784302,0.7661290322580645,1.0222222222222221,0.6444444444444445,135,135,0.6495901639344263,5.0,101,86,2.13953488372093,4720.0,1.0434782608695652,98,29,4,4,0,0,0,0,0,0,0
939,939,41,26,92704,LTO,1,6,208,80.53545689582825,0,27.55824589729309,1.250741958618164,0.8844086021505376,1.1555555555555554,0.7333333333333333,147,147,0.683287795992714,5.0,121,96,2.1666666666666665,5632.0,1.0625,102,34,6,5,0,0,0,0,0,0,0
939,939,41,26,92704,LTO,1,7,208,71.3280758857727,0,19.79447102546692,0.19126105308532715,0.8844086021505376,1.1555555555555554,0.7333333333333333,147,147,0.683287795992714,5.0,121,96,2.1666666666666665,5632.0,1.0625,102,34,6,5,0,0,0,0,0,0,0
939,939,41,26,92704,LTO,1,8,208,74.46449208259583,0,21.01763892173767,0.28826284408569336,0.8844086021505376,1.1555555555555554,0.7333333333333333,147,147,0.683287795992714,5.0,121,96,2.1666666666666665,5632.0,1.0625,102,34,6,5,0,0,0,0,0,0,0
939,939,41,26,92704,LTO,1,9,208,80.56145215034485,0,21.818011045455933,0.32547593116760254,0.8844086021505376,1.1555555555555554,0.7333333333333333,147,147,0.683287795992714,5.0,121,96,2.1666666666666665,5632.0,1.0625,102,34,6,5,0,0,0,0,0,0,0
939,939,41,26,92704,LTO,1,10,208,89.92072200775146,0,21.852946996688843,10.058372020721436,0.8844086021505376,1.1555555555555554,0.7333333333333333,147,147,0.683287795992714,5.0,121,96,2.1666666666666665,5632.0,1.0625,102,34,6,5,0,0,0,0,0,0,0
939,939,41,26,92704,LTO,1,11,208,76.00740098953247,0,22.411505222320557,0.5321140289306641,0.8844086021505376,1.1555555555555554,0.7333333333333333,147,147,0.683287795992714,5.0,121,96,2.1666666666666665,5632.0,1.0625,102,34,6,5,0,0,0,0,0,0,0
939,939,41,26,92704,LTO,1,12,208,94.16767382621765,0,39.0335898399353,0.09446501731872559,0.8844086021505376,1.1555555555555554,0.7333333333333333,147,147,0.683287795992714,5.0,121,96,2.1666666666666665,5632.0,1.0625,102,34,6,5,0,0,0,0,0,0,0
939,939,41,26,92704,LTO,1,13,208,87.34609293937683,0,25.336366176605225,10.130311012268066,0.8844086021505376,1.1555555555555554,0.7333333333333333,147,147,0.683287795992714,5.0,121,96,2.1666666666666665,5632.0,1.0625,102,34,6,5,0,0,0,0,0,0,0
939,939,41,26,92704,LTO,1,14,208,91.86881518363953,0,39.446630001068115,0.1958320140838623,0.8844086021505376,1.1555555555555554,0.7333333333333333,147,147,0.683287795992714,5.0,121,96,2.1666666666666665,5632.0,1.0625,102,34,6,5,0,0,0,0,0,0,0
939,939,41,26,92704,LTO,1,15,208,99.11145281791687,0,38.87966990470886,10.072551012039185,0.8844086021505376,1.1555555555555554,0.7333333333333333,147,147,0.683287795992714,5.0,121,96,2.1666666666666665,5632.0,1.0625,102,34,6,5,0,0,0,0,0,0,0
939,939,41,26,92704,LTO,1,16,208,78.53636598587036,0,25.180202960968018,0.28108811378479004,0.8844086021505376,1.1555555555555554,0.7333333333333333,147,147,0.683287795992714,5.0,121,96,2.1666666666666665,5632.0,1.0625,102,34,6,5,0,0,0,0,0,0,0
939,939,41,26,92704,LTO,1,17,208,87.50565004348755,0,20.85167098045349,11.683520078659058,0.8844086021505376,1.1555555555555554,0.7333333333333333,147,147,0.683287795992714,5.0,121,96,2.1666666666666665,5632.0,1.0625,102,34,6,5,0,0,0,0,0,0,0
939,939,41,26,92704,LTO,1,18,208,96.66799092292786,0,35.595381021499634,10.053475856781006,0.8844086021505376,1.1555555555555554,0.7333333333333333,147,147,0.683287795992714,5.0,121,96,2.1666666666666665,5632.0,1.0625,102,34,6,5,0,0,0,0,0,0,0
